workload,workload_type,workload_size,description,algorithm,frames,page_faults,total_accesses,fault_rate_pct
random_sm_tight,random,sm,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",LFU,64,20,2000,1.0000
random_sm_tight,random,sm,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",LFU,128,20,2000,1.0000
random_sm_tight,random,sm,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",Clock,2,1781,2000,89.0500
random_sm_tight,random,sm,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",Clock,4,1570,2000,78.5000
random_sm_tight,random,sm,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",Clock,8,1150,2000,57.5000
random_sm_tight,random,sm,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",Clock,16,381,2000,19.0500
random_sm_tight,random,sm,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",Clock,32,20,2000,1.0000
random_sm_tight,random,sm,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",Clock,64,20,2000,1.0000
random_sm_tight,random,sm,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",Clock,128,20,2000,1.0000
random_sm_tight,random,sm,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",Random,2,1779,2000,88.9500
random_sm_tight,random,sm,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",Random,4,1598,2000,79.9000
random_sm_tight,random,sm,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",Random,8,1166,2000,58.3000
random_sm_tight,random,sm,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",Random,16,390,2000,19.5000
random_sm_tight,random,sm,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",Random,32,20,2000,1.0000
random_sm_tight,random,sm,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",Random,64,20,2000,1.0000
random_sm_tight,random,sm,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",Random,128,20,2000,1.0000
random_sm_tight,random,sm,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",Otimo,2,1516,2000,75.8000
random_sm_tight,random,sm,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",Otimo,4,1080,2000,54.0000
random_sm_tight,random,sm,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",Otimo,8,619,2000,30.9500
random_sm_tight,random,sm,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",Otimo,16,149,2000,7.4500
random_sm_tight,random,sm,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",Otimo,32,20,2000,1.0000
random_sm_tight,random,sm,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",Otimo,64,20,2000,1.0000
random_sm_tight,random,sm,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",Otimo,128,20,2000,1.0000
random_sm_wide,random,sm,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",FIFO,2,1991,2000,99.5500
random_sm_wide,random,sm,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",FIFO,4,1981,2000,99.0500
random_sm_wide,random,sm,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",FIFO,8,1968,2000,98.4000
random_sm_wide,random,sm,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",FIFO,16,1932,2000,96.6000
random_sm_wide,random,sm,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",FIFO,32,1872,2000,93.6000
random_sm_wide,random,sm,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",FIFO,64,1731,2000,86.5500
random_sm_wide,random,sm,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",FIFO,128,1500,2000,75.0000
random_sm_wide,random,sm,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",LRU,2,1991,2000,99.5500
random_sm_wide,random,sm,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",LRU,4,1981,2000,99.0500
random_sm_wide,random,sm,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",LRU,8,1968,2000,98.4000
random_sm_wide,random,sm,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",LRU,16,1932,2000,96.6000
random_sm_wide,random,sm,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",LRU,32,1879,2000,93.9500
random_sm_wide,random,sm,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",LRU,64,1735,2000,86.7500
random_sm_wide,random,sm,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",LRU,128,1490,2000,74.5000
random_sm_wide,random,sm,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",LFU,2,1995,2000,99.7500
random_sm_wide,random,sm,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",LFU,4,1987,2000,99.3500
