workload,workload_type,workload_size,workload_spread,workload_extra,algorithm,frames,time_ms_op,time_error,gc_alloc_norm_KB_op,gc_alloc_norm_error_KB
aleatorio_pequeno_restrito,aleatorio,pequeno,restrito,,FIFO,4,0.05,0.001,87.594,0.0
aleatorio_pequeno_restrito,aleatorio,pequeno,restrito,,FIFO,8,0.046,0.0,65.391,0.0
aleatorio_pequeno_restrito,aleatorio,pequeno,restrito,,FIFO,16,0.022,0.0,22.93,0.0
aleatorio_pequeno_restrito,aleatorio,pequeno,restrito,,FIFO,32,0.01,0.0,1.359,0.0
fases_extragrande_amplo_f8,fases,extragrande,amplo,f8,FIFO,4,34.63,0.25,95266.536,0.005
fases_extragrande_amplo_f8,fases,extragrande,amplo,f8,FIFO,8,37.118,1.873,89511.238,0.009
fases_extragrande_amplo_f8,fases,extragrande,amplo,f8,FIFO,16,32.453,0.433,77934.498,0.005
fases_extragrande_amplo_f8,fases,extragrande,amplo,f8,FIFO,32,23.107,0.236,54884.897,0.003
fases_grande_amplo_f8,fases,grande,amplo,f8,FIFO,4,3.498,0.046,9510.719,0.0
fases_grande_amplo_f8,fases,grande,amplo,f8,FIFO,8,3.911,0.045,8943.73,0.0
fases_grande_amplo_f8,fases,grande,amplo,f8,FIFO,16,3.405,0.033,7797.711,0.0
fases_grande_amplo_f8,fases,grande,amplo,f8,FIFO,32,2.316,0.026,5508.594,0.0
fases_grande_enorme_f8,fases,grande,enorme,f8,FIFO,4,3.792,0.038,11162.955,0.0
fases_grande_enorme_f8,fases,grande,enorme,f8,FIFO,8,4.34,0.034,11007.022,0.0
fases_grande_enorme_f8,fases,grande,enorme,f8,FIFO,16,3.912,0.346,10689.378,0.065
fases_grande_enorme_f8,fases,grande,enorme,f8,FIFO,32,3.508,0.053,10063.977,0.0
fases_grande_medio_f4,fases,grande,medio,f4,FIFO,4,3.184,0.388,7144.342,0.065
fases_grande_medio_f4,fases,grande,medio,f4,FIFO,8,3.569,0.428,6559.102,0.065
fases_grande_medio_f4,fases,grande,medio,f4,FIFO,16,3.287,0.045,5418.991,0.0
fases_grande_medio_f4,fases,grande,medio,f4,FIFO,32,1.737,0.011,3128.379,0.0
fases_medio_amplo_f8,fases,medio,amplo,f8,FIFO,4,0.321,0.01,952.541,0.0
fases_medio_amplo_f8,fases,medio,amplo,f8,FIFO,8,0.356,0.003,895.182,0.0
fases_medio_amplo_f8,fases,medio,amplo,f8,FIFO,16,0.31,0.015,778.291,0.0
fases_medio_amplo_f8,fases,medio,amplo,f8,FIFO,32,0.219,0.003,553.166,0.0
fases_medio_enorme_f4,fases,medio,enorme,f4,FIFO,4,0.389,0.003,1126.503,0.0
